Nome;Cognome;Via;No. Civico;Data di nascita;sesso;citta;NAP;No. Telefono;Prefisso;Email;Hobby;Professione;Data
Luca;Finke;Via San Bernandino;89;2001-06-08;M;Locarno;9784;97846512;39;asd@gmail.com;asd;asdasd;2018-11-07 17:35:16
Klemens;Audrey;Lakewood Gardens;86;1992-03-29;M;Lazaro Cardenas;7392;5988047605;272;kaudrey2@marketwatch.com;;Human Resources Assistant III;2018-11-07 20:01:34
Basilius;Bessey;Loeprich;060;1996-01-04;M;Salt Lake City;7098;8019748398;244;bbessey4@apple.com;;Nurse;2018-11-07 20:09:19
Noami;Summerson;Almo;1;2000-12-20;F;Būlaevo;3456;7689622671;524;nsummerson3@fastcompany.com;;Analog Circuit Design manager;2018-11-07 20:59:54
Earvin;Seefus;Elmside;1262;1996-12-17;M;Paraíso;2553;3656214090;616;eseefus0@geocities.jp;;Programmer Analyst II;2018-11-07 21:24:14
Zane;Ick;Ryan;77;1994-07-18;M;Cinunjang;8607;6774027116;856;zick1@indiatimes.com;;Operator;2018-11-07 21:33:35
marco;rossi;via soldini;94;2003-01-30;M;chiasso;6489;7981325465;41;email@gmail.com;asdads;aasdasdasdasd;2018-11-14 17:42:29
Ford;Seathwright;Mesta;486;1999-05-24;M;Anjirmuara;2802;7426775285;788;fseathwrightt@rakuten.co.jp;;Social Worker;2018-11-14 18:15:39
Renell;Padwick;Manley;39333;1998-04-24;F;Delta del Tigre;8407;3649523507;456;rpadwick14@dell.com;;Recruiter;2018-11-14 18:31:18
Arch;Delamar;Morningstar;2;2000-10-15;M;Kortesjärvi;7659;4519811567;983;adelamar15@netvibes.com;;Paralegal;2018-11-14 19:07:27 
Sheena;Krzysztofiak;Vernon;5;1998-12-10;F;Pateh Sam;2518;6074222585;610;skrzysztofiak12@forbes.com;;Environmental Tech;2018-11-14 19:47:44
Pat;Mcwhinnie;Kingsford;333;1993-04-28;F;Vaasa;8684;8599105554;970;pmcwhinnies@usatoday.com;;Geologist III;2018-11-14 21:06:18
asd;asd;via asdddasd;78;2003-06-11;M;fasdd;6489;1329457684;193;asd@asd.com;asdasdasd;asdasdsda;2018-11-14 22:61:27
poinco;pallino;via san gottardo;468;2003-01-29;M;chiasso;6485;7984652123;39;asd@gmail.com;;;2018-11-15 17:20:36
Reece;Pickup;Northland;61037;1999-09-13;M;Xirikxiy;1870;2229343962;614;rpickup9@china.com.cn;;Registered Nurse;2018-11-15 18:11:17
Kimmie;Mourgue;Sycamore;577;1995-07-28;F;Cruz;7735;6173633714;443;kmourgue6@ca.gov;;Recruiting Manager;2018-11-15 20:18:45
Taber;Leyden;Gulseth;918;1993-07-17;M;Magisterial;4465;7278317441;658;tleyden7@so-net.ne.jp;;Administrative Officer;2018-11-15 19:45:30
Hilario;Heitz;Springs;2340;1998-07-16;M;Takahagi;2762;7331551729;378;hheitz8@delicious.com;;Systems Administrator IV;2018-11-15 20:50:51
Morrie;Farington;Paget;847;2001-03-26;M;Karabanovo;2024;4886785912;753;mfaringtona@time.com;;Occupational Therapist;2018-11-15 20:54:49
Cherrita;Knibb;Buena Vista;5428;1995-08-22;F;Rejowinangun;9455;7407680193;804;cknibbb@squarespace.com;;Engineer I;2018-11-15 20:21:38marco;rossi;via soldini;94;2003-01-30;M;chiasso;6489;7981325465;41;email@gmail.com;;;2018-11-15 17:55:57
marco;rossi;via soldini;94;2003-01-30;M;chiasso;6489;7981325465;41;email@gmail.com;;;2018-11-15 17:56:13
